记录编号,建筑面积,朝向,楼层,装修,电梯,建筑结构,建筑类别,区域,学校,总价,单价,房龄,室,厅,卫
SH90848,166.66平米,南北,低层,毛坯,无 ,平层,板楼,城关,附件有学校,149.0万,8940.0,8.0,4,2,2
SH90850,92.73平米,南北,中层,精装修,有 ,平层,板楼,七里河,附件无学校,90.0万,9706.0,8.0,2,2,1
SH90852,95平米,南北,中层,毛坯,无 ,平层,板楼,七里河,附件无学校,96.0万,10105.0,4.0,3,2,1
SH90853,50平米,东西,中层,精装修,无 ,平层,砖混,城关,附件有学校,78.0万,15600.0,22.0,2,1,1
SH90856,155平米,南北,低层,简装修,有 ,平层,板楼,城关,附件有学校,252.0万,16258.0,16.0,3,2,2
SH90857,94平米,东南,中层,暂无,无 ,平层,塔楼,七里河,附件有学校,120.0万,12766.0,18.0,2,2,1
SH90859,73平米,西,中层,精装修,无 ,平层,板楼,安宁,附件无学校,101.0万,13836.0,9.0,2,2,1
SH90861,103.15平米,东西,中层,暂无,无 ,平层,板楼,七里河,附件无学校,108.0万,10470.0,13.0,2,2,1
SH90862,102平米,东南,高层,精装修,无 ,平层,钢混,城关,附件有学校,193.0万,18922.0,14.0,2,2,2
SH90864,90.7平米,东西,中层,精装修,有 ,平层,板楼,城关,附件有学校,80.0万,8820.0,12.0,2,2,1
SH90867,88.71平米,南北,低层,暂无,有 ,平层,板楼,安宁,附件有学校,122.0万,13753.0,16.0,2,2,1
SH90868,98.88平米,南北,高层,精装修,有 ,平层,板楼,城关,附件有学校,162.3万,16414.0,9.0,2,2,1
SH90869,84平米,东南,低层,简装修,无 ,平层,板楼,城关,附件有学校,87.0万,10357.0,18.0,2,1,1
SH90870,75平米,南北,低层,精装修,有 ,平层,板楼,城关,附件有学校,88.0万,11733.0,18.0,3,1,1
SH90871,55平米,西,低层,精装修,有 ,平层,砖混,城关,附件有学校,55.0万,10000.0,25.0,2,1,1
SH90872,80平米,东南,中层,简装修,有 ,平层,板楼,城关,附件有学校,78.0万,9750.0,16.0,1,1,1
SH97358,116.88平米,东南,低层,精装修,有 ,平层,板楼,城关,附件有学校,178.0万,15229.0,8.0,2,2,2
SH90874,89平米,东北,中层,精装修,有 ,平层,钢混,城关,附件有学校,115.0万,12921.0,18.0,2,1,1
SH90875,96平米,南北,中层,毛坯,有 ,平层,板楼,榆中,附件无学校,58.0万,6042.0,2.0,2,2,1
SH90876,107.7平米,东南,中层,精装修,有 ,跃层,塔楼,城关,附件有学校,125.0万,11606.0,6.0,2,1,1
SH90878,76平米,南北,中层,精装修,无 ,平层,砖混,城关,附件有学校,119.0万,15658.0,27.0,2,2,1
SH97319,75平米,南北,中层,精装修,有 ,平层,钢混,城关,附件有学校,95.0万,12667.0,24.0,2,1,1
SH90887,76平米,南,低层,中装修,有 ,开间,钢混,西固,附件有学校,72.0万,9474.0,17.0,2,1,1
SH90888,96平米,西,高层,精装修,无 ,平层,板楼,城关,附件有学校,140.0万,14583.0,16.0,2,2,1
SH90890,94平米,南北,高层,精装修,无 ,平层,塔楼,安宁,附件无学校,122.0万,12979.0,14.0,2,2,1
SH90892,177.3平米,南北,中层,精装修,有 ,平层,板楼,安宁,附件无学校,216.0万,12183.0,8.0,3,2,2
SH90893,148平米,南北,中层,精装修,有 ,平层,塔板结合,城关,附件无学校,133.0万,8986.0,5.0,3,2,2
SH90895,116平米,南北,低层,毛坯,有 ,平层,钢混,七里河,附件无学校,152.0万,13103.0,6.0,3,2,2
SH90896,52平米,南,中层,毛坯,有 ,复式,板楼,安宁,附件无学校,66.0万,12692.0,2.0,1,1,1
SH90897,94.51平米,东南,中层,简装修,有 ,平层,塔板结合,安宁,附件无学校,129.9万,13745.0,13.0,2,2,1
SH90900,144.59平米,南北,低层,豪华装修,有 ,平层,板楼,城关,附件有学校,230.0万,15907.0,8.0,3,2,2
SH90901,92.5平米,南北,高层,精装修,有 ,平层,板楼,城关,附件有学校,92.0万,9946.0,21.0,2,2,1
SH97348,70平米,东南,高层,简装修,无 ,平层,板楼,城关,附件有学校,71.0万,10143.0,18.0,2,1,1
SH90905,95.78平米,南北,中层,精装修,有 ,平层,塔板结合,城关,附件无学校,118.0万,12320.0,15.0,2,2,1
SH90910,108.5平米,南北,高层,精装修,无 ,平层,板楼,城关,附件有学校,155.0万,14286.0,24.0,3,2,2
SH90916,155.18平米,南北,高层,精装修,无 ,平层,板楼,城关,附件有学校,267.0万,17206.0,11.0,3,2,2
SH90917,82.22平米,南,低层,精装修,有 ,平层,板楼,安宁,附件无学校,95.0万,11554.0,16.0,2,2,1
SH90918,88平米,南,低层,中装修,无 ,平层,钢混,城关,附件有学校,88.5万,10057.0,18.0,2,1,1
SH90919,95.07平米,南,中层,精装修,有 ,平层,塔板结合,安宁,附件无学校,123.0万,12938.0,8.0,2,2,1
SH90921,110平米,南北,中层,精装修,有 ,平层,板楼,安宁,附件无学校,82.5万,7500.0,1.0,3,2,2
SH90923,85平米,南北,高层,简装修,有 ,平层,钢混,西固,附件有学校,77.5万,9118.0,18.0,2,2,1
SH90925,32.43平米,西,低层,中装修,无 ,平层,板楼,安宁,附件无学校,47.0万,14493.0,16.0,1,1,1
SH97917,300平米,南北,高层,简装修,无 ,平层,板楼,城关,附件有学校,335.0万,11167.0,17.0,5,3,2
SH90927,60平米,南北,高层,简装修,无 ,平层,板楼,城关,附件有学校,95.0万,15833.0,2.0,2,1,1
SH90928,132平米,西南,中层,精装修,有 ,平层,板楼,城关,附件无学校,186.0万,14091.0,14.0,3,2,2
SH90930,82平米,北,低层,精装修,有 ,平层,钢混,城关,附件有学校,85.0万,10366.0,18.0,1,1,1
SH90931,53平米,西,低层,毛坯,无 ,平层,板楼,城关,附件无学校,67.0万,12642.0,5.0,1,1,1
SH90932,149平米,南北,中层,简装修,无 ,平层,板楼,城关,附件有学校,220.0万,14765.0,17.0,3,2,2
SH90935,113平米,西南,中层,精装修,有 ,平层,板楼,城关,附件无学校,127.0万,11239.0,17.0,3,2,1
SH97445,60平米,北,高层,暂无,无 ,平层,塔板结合,城关,附件有学校,50.0万,8333.0,16.0,1,1,1
SH90937,108平米,南北,低层,精装修,有 ,平层,板楼,安宁,附件无学校,140.0万,12963.0,8.0,3,2,1
SH90938,89.9平米,南,中层,中装修,有 ,平层,板楼,西固,附件无学校,110.0万,12236.0,6.0,2,2,1
SH90940,198平米,南北,中层,毛坯,无 ,平层,板楼,安宁,附件有学校,380.0万,19192.0,10.0,3,2,2
SH90941,76平米,北,高层,精装修,有 ,平层,钢混,城关,附件有学校,83.8万,11026.0,4.0,2,2,1
SH90943,211平米,南北,高层,毛坯,无 ,平层,板楼,安宁,附件无学校,275.0万,13033.0,1.0,4,2,2
SH90945,72平米,南,中层,简装修,无 ,平层,板楼,城关,附件有学校,83.0万,11528.0,21.0,2,1,1
SH90947,128.7平米,南北,高层,中装修,有 ,平层,板楼,城关,附件有学校,210.0万,16317.0,17.0,2,2,2
SH90948,157.23平米,南北,高层,毛坯,有 ,平层,板楼,城关,附件有学校,235.0万,14946.0,10.0,3,2,2
SH90949,120.1平米,南北,中层,简装修,有 ,平层,板楼,城关,附件无学校,165.0万,13739.0,16.0,2,2,1
SH90951,53平米,东,中层,精装修,无 ,平层,钢混,城关,附件有学校,58.0万,10943.0,17.0,2,1,1
SH90963,77.74平米,南北,高层,简装修,无 ,平层,板楼,城关,附件有学校,87.66万,11276.0,19.0,2,1,1
SH90964,140.13平米,南北,中层,精装修,有 ,平层,钢混,城关,附件有学校,200.0万,14272.0,18.0,2,2,1
SH90965,90平米,南北,高层,毛坯,无 ,开间,板楼,七里河,附件无学校,77.0万,8556.0,6.0,2,1,1
SH90966,85平米,南北,高层,暂无,有 ,平层,钢混,西固,附件无学校,75.5万,8882.0,18.0,2,2,1
SH90967,157.85平米,东,高层,简装修,无 ,平层,板楼,城关,附件有学校,200.0万,12670.0,10.0,4,2,1
SH90969,123.98平米,南北,中层,简装修,有 ,平层,板楼,城关,附件无学校,145.0万,11695.0,2.0,3,2,1
SH97789,57平米,东南,中层,简装修,无 ,平层,板楼,城关,附件有学校,78.0万,13684.0,24.0,2,0,1
SH90972,96平米,南北,中层,精装修,无 ,平层,板楼,城关,附件无学校,90.0万,9375.0,5.0,3,2,1
SH90973,101平米,南北,中层,简装修,有 ,平层,钢混,城关,附件无学校,120.0万,11881.0,20.0,2,1,1
SH90975,100平米,南北,高层,精装修,有 ,平层,板楼,城关,附件有学校,110.0万,11000.0,23.0,2,2,1
SH90979,119.9平米,南,低层,精装修,有 ,平层,板楼,城关,附件无学校,150.0万,12510.0,20.0,3,2,1
SH90983,86平米,东,中层,简装修,有 ,平层,板楼,城关,附件有学校,97.0万,11279.0,18.0,2,2,1
SH97955,95平米,南北,中层,中装修,有 ,平层,平房,安宁,附件无学校,69.9万,7358.0,24.0,2,2,1
SH90988,106平米,南北,中层,毛坯,无 ,平层,板楼,七里河,附件无学校,132.5万,12500.0,1.0,3,2,2
SH90989,170平米,南北,中层,精装修,无 ,平层,板楼,城关,附件有学校,270.0万,15882.0,20.0,4,2,2
SH90992,75.63平米,南北,中层,暂无,无 ,平层,板楼,七里河,附件有学校,72.5万,9586.0,23.0,2,1,1
SH90993,146平米,南北,低层,精装修,有 ,平层,板楼,城关,附件有学校,340.0万,23288.0,10.0,3,2,2
SH97415,127平米,南北,中层,毛坯,无 ,平层,板楼,城关,附件无学校,125.0万,9843.0,4.0,3,2,2
SH90997,92.39平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,115.0万,12447.0,17.0,2,2,1
SH90998,82.7平米,西北,中层,中装修,无 ,平层,板楼,城关,附件有学校,115.0万,13906.0,12.0,2,2,1
SH90999,40.89平米,北,低层,精装修,有 ,平层,板楼,七里河,附件有学校,54.6万,13353.0,22.0,1,0,1
SH97355,120平米,南,低层,毛坯,无 ,平层,塔板结合,安宁,附件无学校,118.4万,9867.0,16.0,3,2,1
SH91004,96平米,南北,高层,精装修,无 ,平层,板楼,城关,附件无学校,93.0万,9688.0,16.0,2,2,1
SH91008,92.88平米,东西,低层,暂无,无 ,平层,板楼,城关,附件无学校,158.0万,17011.0,21.0,2,2,1
SH91009,88平米,东,中层,中装修,无 ,平层,塔楼,城关,附件有学校,98.0万,11136.0,24.0,2,2,1
SH91010,86.16平米,东北,高层,毛坯,有 ,平层,板楼,七里河,附件无学校,73.0万,8473.0,6.0,2,1,1
SH91011,103平米,东西,高层,精装修,无 ,平层,钢混,城关,附件有学校,115.0万,11165.0,22.0,3,1,1
SH91014,67平米,东西,低层,简装修,有 ,平层,砖混,安宁,附件无学校,70.0万,10448.0,18.0,2,1,1
SH91015,124平米,南北,高层,精装修,有 ,平层,塔板结合,城关,附件无学校,165.0万,13306.0,5.0,3,2,2
SH91017,75平米,南北,中层,简装修,无 ,平层,砖混,城关,附件无学校,68.0万,9067.0,26.0,2,1,1
SH91018,98.99平米,南北,高层,精装修,无 ,平层,板楼,安宁,附件无学校,145.0万,14648.0,12.0,2,2,2
SH91020,98平米,南北,低层,简装修,有 ,平层,板楼,城关,附件无学校,130.0万,13265.0,7.0,2,2,1
SH91024,122平米,南北,中层,简装修,有 ,平层,板楼,安宁,附件无学校,150.0万,12295.0,1.0,3,2,2
SH91029,65平米,南,低层,中装修,无 ,平层,板楼,城关,附件有学校,69.0万,10615.0,25.0,2,2,1
SH97908,117.46平米,南北,低层,简装修,无 ,平层,板楼,七里河,附件有学校,218.0万,18560.0,17.0,4,2,2
SH91038,81.85平米,南,中层,精装修,有 ,开间,砖楼,安宁,附件无学校,105.0万,12828.0,7.0,2,2,1
SH91039,98.42平米,南北,高层,精装修,无 ,平层,板楼,七里河,附件有学校,106.0万,10770.0,16.0,2,2,1
SH91040,103平米,西,中层,毛坯,无 ,平层,板楼,城关,附件无学校,96.0万,9320.0,7.0,2,2,1
SH91046,51平米,南北,高层,简装修,无 ,平层,板楼,城关,附件有学校,50.0万,9804.0,18.0,2,1,1
SH91048,81.69平米,南北,低层,精装修,无 ,平层,钢混,城关,附件无学校,89.9万,11005.0,18.0,2,2,1
SH91049,52.1平米,南北,中层,简装修,有 ,平层,板楼,城关,附件有学校,69.0万,13244.0,25.0,2,1,1
SH91052,423.43平米,南北,中层,毛坯,有 ,复式,塔楼,城关,附件有学校,738.0万,17429.0,10.0,6,2,4
SH91054,116平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,125.0万,10776.0,2.0,3,2,1
SH91055,90平米,南北,中层,精装修,有 ,平层,板楼,安宁,附件无学校,129.8万,14422.0,9.0,3,2,1
SH91060,91.94平米,南北,中层,精装修,有 ,平层,板楼,城关,附件无学校,120.0万,13052.0,20.0,3,2,1
SH91062,72平米,南,中层,简装修,无 ,平层,板楼,城关,附件有学校,83.0万,11528.0,21.0,2,1,1
SH91064,70平米,南北,中层,简装修,无 ,平层,砖混,城关,附件有学校,89.0万,12714.0,24.0,2,1,1
SH91065,76.4平米,东,高层,简装修,有 ,平层,塔板结合,七里河,附件有学校,118.0万,15445.0,19.0,2,1,1
SH97858,135平米,东南,高层,精装修,有 ,平层,塔楼,城关,附件有学校,140.0万,10370.0,14.0,3,2,2
SH91070,118平米,南,低层,精装修,有 ,平层,塔楼,城关,附件有学校,139.0万,11780.0,14.0,2,2,1
SH91071,137平米,南北,低层,毛坯,有 ,平层,钢混,七里河,附件无学校,170.0万,12409.0,6.0,3,2,2
SH91074,55平米,东西,中层,简装修,无 ,平层,板楼,城关,附件有学校,72.0万,13091.0,22.0,2,1,1
SH91076,91.55平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,143.0万,15620.0,12.0,2,2,1
SH91077,55平米,东西,中层,精装修,无 ,平层,板楼,城关,附件无学校,55.0万,10000.0,22.0,2,1,1
SH91081,87平米,南北,高层,精装修,有 ,平层,板楼,安宁,附件无学校,135.0万,15517.0,7.0,2,2,1
SH91082,210.09平米,南北,低层,中装修,无 ,复式,板楼,城关,附件无学校,345.0万,16422.0,18.0,4,2,2
SH91084,65平米,南,中层,毛坯,有 ,复式,板楼,安宁,附件有学校,81.0万,12462.0,10.0,1,1,1
SH91085,128平米,南北,低层,中装修,有 ,平层,板楼,城关,附件无学校,144.0万,11250.0,18.0,2,2,1
SH97631,177平米,南北,低层,毛坯,有 ,平层,板楼,城关,附件无学校,177.0万,10000.0,6.0,4,2,2
SH91090,131.16平米,西北,低层,精装修,有 ,平层,平房,城关,附件有学校,168.0万,12809.0,18.0,2,2,1
SH91091,97平米,南北,中层,毛坯,无 ,平层,板楼,城关,附件无学校,95.0万,9794.0,4.0,3,2,1
SH91093,105平米,南北,中层,精装修,有 ,平层,钢混,城关,附件有学校,148.0万,14095.0,9.0,3,1,1
SH91095,96平米,南北,中层,毛坯,无 ,平层,板楼,榆中,附件无学校,57.0万,5938.0,4.0,2,2,1
SH91096,89平米,南北,低层,简装修,无 ,平层,板楼,城关,附件有学校,105.0万,11798.0,12.0,2,1,1
SH97226,72.33平米,南,高层,精装修,无 ,平层,板楼,七里河,附件有学校,81.0万,11199.0,12.0,2,1,1
SH91105,94.06平米,南,中层,精装修,有 ,平层,板楼,城关,附件无学校,136.0万,14459.0,2.0,2,2,1
SH91111,122平米,东南,中层,精装修,有 ,平层,板楼,城关,附件有学校,175.0万,14344.0,12.0,3,2,2
SH97586,130平米,南北,中层,暂无,有 ,平层,钢混,西固,附件无学校,153.0万,11769.0,16.0,3,2,2
SH97462,89平米,南北,中层,简装修,无 ,错层,板楼,安宁,附件无学校,88.0万,9888.0,14.0,2,2,1
SH97688,97平米,东南,中层,精装修,有 ,平层,板楼,城关,附件无学校,95.0万,9794.0,4.0,2,2,1
SH91121,160平米,南北,低层,中装修,有 ,平层,板楼,安宁,附件无学校,209.6万,13100.0,12.0,4,2,2
SH91125,55.81平米,南北,中层,中装修,无 ,平层,砖混,城关,附件有学校,120.0万,21502.0,27.0,2,1,1
SH91126,65平米,南北,中层,精装修,有 ,平层,钢混,西固,附件无学校,75.0万,11538.0,22.0,2,1,1
SH91128,73.65平米,南北,中层,简装修,有 ,平层,板楼,城关,附件有学校,79.0万,10726.0,20.0,2,2,1
SH91131,91.47平米,东南,高层,毛坯,有 ,平层,板楼,城关,附件无学校,115.0万,12572.0,6.0,2,2,1
SH91133,97.53平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,125.0万,12817.0,12.0,2,2,1
SH91136,170平米,南北,中层,精装修,有 ,平层,钢混,城关,附件无学校,260.0万,15294.0,14.0,3,2,2
SH91140,103平米,东南,高层,精装修,有 ,平层,塔板结合,安宁,附件有学校,150.0万,14563.0,14.0,2,2,1
SH97303,91平米,南北,中层,精装修,无 ,平层,板楼,安宁,附件无学校,99.9万,10978.0,18.0,2,2,1
SH91142,77平米,南,高层,简装修,无 ,平层,钢混,七里河,附件有学校,67.0万,8701.0,22.0,2,1,1
SH91144,91.64平米,南北,低层,精装修,有 ,平层,板楼,城关,附件无学校,119.0万,12986.0,10.0,2,2,1
SH91147,118.7平米,南北,高层,精装修,有 ,平层,板楼,城关,附件有学校,165.0万,13901.0,8.0,3,2,1
SH91149,165平米,南北,高层,简装修,无 ,平层,板楼,七里河,附件无学校,146.6万,8885.0,22.0,4,2,1
SH91151,106平米,南北,低层,简装修,无 ,平层,钢混,城关,附件有学校,125.0万,11792.0,22.0,3,2,1
SH91153,100平米,南北,中层,精装修,有 ,平层,板楼,安宁,附件无学校,75.0万,7500.0,1.0,3,2,2
SH91155,97平米,南北,中层,毛坯,有 ,平层,板楼,城关,附件无学校,90.0万,9278.0,4.0,3,2,1
SH91156,168.85平米,南北,高层,精装修,有 ,平层,板楼,城关,附件无学校,360.0万,21321.0,16.0,4,2,1
SH91157,128.8平米,南北,低层,精装修,有 ,平层,板楼,安宁,附件无学校,178.0万,13820.0,8.0,3,2,1
SH91159,107平米,南,低层,简装修,有 ,平层,板楼,安宁,附件无学校,142.0万,13271.0,12.0,2,2,1
SH91163,111平米,南北,中层,毛坯,有 ,平层,板楼,城关,附件无学校,103.0万,9279.0,2.0,3,2,2
SH91164,60平米,南北,低层,简装修,无 ,错层,板楼,安宁,附件无学校,67.5万,11250.0,24.0,2,1,1
SH91165,80平米,东西,中层,精装修,有 ,平层,砖混,城关,附件无学校,128.0万,16000.0,24.0,2,1,1
SH91167,140平米,南北,中层,毛坯,有 ,平层,板楼,城关,附件有学校,195.0万,13929.0,2.0,3,2,2
SH97239,152.77平米,南北,低层,中装修,有 ,平层,塔楼,城关,附件有学校,225.0万,14728.0,10.0,3,2,2
SH91172,150平米,南北,低层,毛坯,有 ,平层,板楼,城关,附件有学校,188.0万,12533.0,22.0,4,2,2
SH97575,110平米,南北,低层,毛坯,有 ,平层,塔板结合,城关,附件无学校,90.0万,8182.0,5.0,3,2,2
SH91175,137平米,南北,高层,精装修,有 ,平层,板楼,安宁,附件无学校,166.0万,12117.0,7.0,4,2,2
SH91177,83.69平米,南北,高层,精装修,无 ,平层,板楼,城关,附件有学校,70.8万,8460.0,13.0,2,2,1
SH91178,81平米,东,低层,简装修,有 ,平层,钢混,西固,附件无学校,75.0万,9259.0,12.0,2,1,1
SH97949,147平米,南北,高层,毛坯,有 ,平层,板楼,七里河,附件无学校,227.0万,15442.0,5.0,3,2,2
SH91181,91平米,南北,低层,简装修,有 ,平层,板楼,城关,附件有学校,135.0万,14835.0,12.0,2,2,1
SH91183,78.76平米,南北,中层,精装修,有 ,平层,板楼,安宁,附件有学校,97.0万,12316.0,9.0,2,1,1
SH91184,51平米,南,高层,简装修,无 ,开间,砖混,七里河,附件有学校,48.0万,9412.0,14.0,2,1,1
SH91187,124.7平米,南北,中层,毛坯,有 ,平层,钢混,七里河,附件无学校,180.0万,14435.0,6.0,3,2,2
SH91189,115平米,南北,中层,精装修,有 ,平层,板楼,七里河,附件无学校,118.0万,10261.0,2.0,3,2,2
SH91191,137平米,南,高层,精装修,有 ,平层,钢混,安宁,附件无学校,189.0万,13796.0,12.0,3,2,2
SH91192,176.45平米,南北,高层,暂无,有 ,复式,板楼,城关,附件无学校,255.0万,14452.0,20.0,4,2,2
SH91193,110.4平米,南北,中层,简装修,无 ,平层,钢混,城关,附件有学校,78.0万,7065.0,17.0,4,2,2
SH97933,85平米,东西,中层,精装修,无 ,平层,钢混,城关,附件无学校,138.0万,16235.0,20.0,2,2,1
SH91197,107平米,南北,高层,中装修,有 ,平层,板楼,城关,附件有学校,105.0万,9813.0,19.0,2,2,2
SH91198,60.43平米,西,高层,简装修,有 ,平层,塔楼,安宁,附件有学校,82.0万,13569.0,11.0,1,1,1
SH97354,144平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,299.0万,20764.0,10.0,3,2,2
SH91203,176平米,南北,高层,精装修,无 ,平层,板楼,安宁,附件无学校,310.0万,17614.0,13.0,3,2,2
SH91204,165平米,南,低层,精装修,有 ,平层,板楼,安宁,附件无学校,208.0万,12606.0,14.0,4,2,2
SH91206,91.38平米,南北,低层,简装修,无 ,平层,板楼,城关,附件有学校,135.0万,14773.0,12.0,2,2,1
SH91207,86.7平米,东西,低层,精装修,有 ,平层,钢混,城关,附件有学校,165.0万,19031.0,16.0,2,1,1
SH91212,85.76平米,南,中层,简装修,无 ,平层,钢混,城关,附件有学校,78.0万,9095.0,20.0,2,1,1
SH91213,68平米,南北,中层,简装修,无 ,平层,板楼,城关,附件有学校,83.0万,12206.0,23.0,2,1,1
SH91216,217.64平米,南北,低层,中装修,有 ,平层,板楼,七里河,附件有学校,268.0万,12314.0,22.0,4,2,2
SH91217,75平米,南北,高层,简装修,有 ,平层,板楼,城关,附件无学校,95.0万,12667.0,22.0,2,2,1
SH91218,154.6平米,南北,低层,中装修,无 ,平层,钢混,安宁,附件有学校,163.0万,10543.0,11.0,3,2,2
SH91219,70.03平米,南北,低层,简装修,无 ,平层,板楼,城关,附件无学校,82.0万,11709.0,22.0,2,1,1
SH91221,151.57平米,南北,高层,精装修,有 ,复式,板楼,城关,附件有学校,150.0万,9896.0,18.0,4,2,2
SH91224,136.5平米,南北,中层,精装修,无 ,平层,板楼,安宁,附件无学校,187.0万,13700.0,12.0,2,2,1
SH91225,69.36平米,西,中层,简装修,有 ,平层,板楼,城关,附件无学校,85.0万,12255.0,16.0,1,1,1
SH91231,66.93平米,南北,高层,简装修,无 ,平层,钢混,城关,附件无学校,85.0万,12700.0,21.0,2,1,1
SH91232,91.25平米,南北,低层,精装修,有 ,平层,板楼,城关,附件无学校,155.0万,16986.0,21.0,2,2,1
SH91233,198平米,南北,高层,精装修,无 ,平层,板楼,安宁,附件有学校,320.0万,16162.0,14.0,4,2,2
SH91238,75平米,南北,高层,简装修,有 ,平层,钢混,西固,附件无学校,75.0万,10000.0,13.0,2,2,1
SH91240,112平米,东南,高层,简装修,有 ,平层,板楼,城关,附件有学校,186.0万,16607.0,32.0,2,2,1
SH91241,131.1平米,南,低层,精装修,有 ,平层,板楼,城关,附件有学校,150.0万,11442.0,16.0,3,2,1
SH91242,121平米,南北,高层,简装修,有 ,平层,塔楼,安宁,附件无学校,165.0万,13636.0,13.0,3,2,1
SH91245,78平米,西,低层,中装修,无 ,平层,钢混,城关,附件无学校,89.8万,11513.0,18.0,2,1,1
SH91246,78平米,西,低层,精装修,无 ,平层,板楼,七里河,附件有学校,80.2万,10282.0,19.0,3,1,1
SH91247,102.08平米,南,中层,简装修,无 ,开间,钢混,安宁,附件有学校,107.0万,10482.0,23.0,2,2,1
SH91248,156.6平米,南北,中层,中装修,有 ,平层,板楼,城关,附件无学校,182.0万,11622.0,21.0,4,2,2
SH91249,67.17平米,南北,低层,精装修,无 ,平层,板楼,安宁,附件无学校,69.9万,10406.0,20.0,2,1,1
SH91252,50平米,南北,高层,简装修,无 ,平层,砖混,城关,附件有学校,51.0万,10200.0,18.0,2,0,1
SH91253,112.56平米,南北,高层,简装修,无 ,平层,钢混,城关,附件无学校,118.0万,10483.0,20.0,2,2,2
SH91254,99平米,东,中层,简装修,无 ,平层,板楼,城关,附件无学校,128.0万,12929.0,12.0,2,2,1
SH97643,85.14平米,南,低层,精装修,无 ,平层,板楼,城关,附件有学校,88.0万,10336.0,7.0,3,2,1
SH91256,66平米,北,中层,简装修,有 ,平层,塔楼,城关,附件有学校,79.0万,11970.0,14.0,1,1,1
SH91257,66.85平米,东,中层,简装修,有 ,平层,板楼,城关,附件有学校,89.4万,13373.0,2.0,2,1,1
SH91263,59平米,南北,低层,中装修,无 ,平层,板楼,安宁,附件无学校,66.8万,11322.0,19.0,2,1,1
SH91264,114平米,南北,中层,精装修,有 ,平层,板楼,七里河,附件无学校,115.0万,10088.0,2.0,3,2,2
SH91266,94.78平米,南北,中层,精装修,有 ,平层,钢混,城关,附件无学校,119.0万,12555.0,21.0,2,2,1
SH91268,191平米,南北,低层,豪华装修,有 ,平层,钢混,城关,附件有学校,285.0万,14921.0,7.0,3,2,2
SH91274,95.78平米,南,低层,精装修,有 ,平层,板楼,城关,附件无学校,115.0万,12007.0,15.0,2,1,1
SH91275,58平米,南北,高层,简装修,无 ,平层,钢混,安宁,附件无学校,66.5万,11466.0,12.0,2,1,1
SH91276,83平米,南北,中层,精装修,有 ,平层,塔楼,安宁,附件无学校,99.0万,11928.0,17.0,2,2,1
SH97326,96平米,东西,中层,中装修,无 ,平层,钢混,城关,附件有学校,130.0万,13542.0,22.0,2,2,1
SH91280,158平米,南北,中层,精装修,有 ,平层,钢混,城关,附件有学校,208.0万,13165.0,18.0,3,2,2
SH91285,83.16平米,南北,低层,精装修,无 ,平层,板楼,城关,附件有学校,100.0万,12025.0,24.0,2,2,1
SH91288,99.8平米,东西,低层,简装修,有 ,平层,钢混,七里河,附件无学校,105.0万,10521.0,19.0,2,2,1
SH91290,143.02平米,南北,低层,精装修,有 ,平层,钢混,城关,附件无学校,180.0万,12586.0,17.0,3,2,2
SH91296,95平米,南北,中层,毛坯,无 ,平层,板楼,七里河,附件无学校,96.0万,10105.0,4.0,3,2,1
SH97809,80平米,南,中层,简装修,有 ,平层,板楼,城关,附件有学校,88.8万,11100.0,18.0,2,1,1
SH91299,90.81平米,东南,高层,精装修,有 ,平层,钢混,城关,附件无学校,175.0万,19271.0,14.0,2,2,1
SH91300,70.61平米,东北,中层,精装修,有 ,平层,钢混,城关,附件有学校,94.0万,13313.0,12.0,2,1,1
SH91301,124平米,南北,中层,毛坯,无 ,平层,塔板结合,城关,附件无学校,130.0万,10484.0,4.0,3,2,2
SH91302,95.78平米,南,高层,精装修,有 ,平层,塔楼,城关,附件无学校,110.0万,11485.0,15.0,2,2,1
SH91304,95平米,南北,中层,中装修,无 ,平层,板楼,城关,附件无学校,162.0万,17053.0,16.0,2,2,1
SH91307,105.75平米,南北,低层,豪华装修,有 ,平层,钢混,城关,附件无学校,102.0万,9645.0,5.0,3,2,1
SH91308,94平米,西北,低层,精装修,有 ,平层,砖混,城关,附件有学校,110.0万,11702.0,6.0,2,1,1
SH91309,110平米,南,中层,暂无,无 ,平层,钢混,七里河,附件有学校,147.0万,13364.0,16.0,2,2,1
SH97822,102平米,南,中层,精装修,有 ,平层,钢混,城关,附件有学校,168.0万,16471.0,10.0,2,2,1
SH91313,98平米,西北,低层,精装修,有 ,平层,板楼,安宁,附件有学校,117.0万,11939.0,11.0,2,2,1
SH97837,65平米,南北,中层,精装修,有 ,平层,钢混,城关,附件有学校,75.0万,11538.0,20.0,2,1,1
SH91315,66.85平米,东,中层,简装修,有 ,平层,板楼,城关,附件有学校,89.0万,13313.0,2.0,2,1,1
SH91316,147.59平米,南北,低层,毛坯,有 ,平层,板楼,安宁,附件有学校,260.0万,17616.0,14.0,3,2,2
SH91317,71平米,西南,中层,简装修,有 ,平层,板楼,城关,附件无学校,72.0万,10141.0,10.0,2,1,1
