记录编号,建筑面积,朝向,楼层,装修,电梯,建筑结构,建筑类别,区域,学校,总价,单价,房龄,室,厅,卫
SH90112,85平米,南北,中层,毛坯,有 ,平层,板楼,七里河,附件有学校,110.0万,12941.0,9.0,2,2,1
SH90113,94平米,南,低层,中装修,有 ,平层,板楼,城关,附件有学校,155.0万,16489.0,15.0,2,1,1
SH90116,85平米,南北,低层,中装修,无 ,平层,钢混,城关,附件有学校,125.0万,14706.0,22.0,2,2,2
SH90118,96平米,东西,中层,精装修,无 ,平层,板楼,安宁,附件无学校,127.5万,13281.0,18.0,2,2,1
SH90119,143.16平米,南北,中层,精装修,有 ,平层,钢混,城关,附件无学校,149.5万,10443.0,16.0,3,2,1
SH90122,103平米,东西,高层,精装修,有 ,平层,板楼,城关,附件有学校,119.0万,11553.0,22.0,2,2,2
SH90123,194.38平米,南北,高层,中装修,有 ,平层,板楼,安宁,附件有学校,238.0万,12244.0,16.0,4,2,2
SH90124,124平米,南北,低层,毛坯,有 ,平层,钢混,城关,附件无学校,122.0万,9839.0,2.0,3,2,2
SH90127,212平米,南北,中层,毛坯,有 ,平层,板楼,城关,附件有学校,320.0万,15094.0,10.0,4,2,2
SH90137,100平米,南北,中层,精装修,有 ,平层,钢混,城关,附件无学校,112.0万,11200.0,5.0,3,2,1
SH90139,55平米,东,中层,毛坯,有 ,平层,板楼,七里河,附件无学校,40.0万,7273.0,5.0,1,1,1
SH90140,94平米,南北,中层,中装修,无 ,平层,钢混,城关,附件无学校,99.0万,10532.0,19.0,2,2,2
SH90142,127平米,南北,中层,精装修,有 ,平层,板楼,七里河,附件有学校,177.8万,14000.0,11.0,3,2,2
SH90143,99.46平米,东北,中层,中装修,无 ,平层,钢混,城关,附件有学校,172.0万,17293.0,17.0,2,2,1
SH90145,109平米,东北,中层,精装修,有 ,平层,塔楼,城关,附件有学校,140.0万,12844.0,14.0,2,2,1
SH97832,90平米,南,中层,精装修,无 ,平层,板楼,城关,附件有学校,146.0万,16222.0,14.0,2,2,1
SH90148,31平米,南,高层,精装修,无 ,平层,板楼,安宁,附件无学校,45.0万,14516.0,24.0,1,1,1
SH90152,101平米,南北,中层,毛坯,无 ,平层,钢混,城关,附件有学校,128.0万,12673.0,12.0,2,2,1
SH90155,110平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,130.0万,11818.0,13.0,3,2,1
SH90156,100.8平米,南,中层,精装修,有 ,平层,板楼,城关,附件无学校,130.0万,12897.0,10.0,2,2,1
SH90158,103平米,南北,中层,精装修,无 ,平层,板楼,城关,附件有学校,135.0万,13107.0,12.0,2,2,1
SH90161,82.37平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,98.0万,11898.0,18.0,2,2,1
SH90162,73平米,南,高层,精装修,有 ,平层,板楼,安宁,附件无学校,96.5万,13219.0,16.0,2,2,1
SH90163,126.45平米,东西,中层,简装修,有 ,平层,钢混,城关,附件有学校,152.0万,12021.0,22.0,3,2,1
SH90164,104.12平米,南,中层,暂无,无 ,平层,板楼,安宁,附件无学校,140.0万,13446.0,8.0,3,2,1
SH97519,128.72平米,南北,低层,精装修,有 ,平层,板楼,七里河,附件有学校,152.0万,11809.0,9.0,3,2,2
SH90174,91.16平米,东南,低层,精装修,有 ,平层,钢混,七里河,附件有学校,118.0万,12944.0,21.0,2,2,1
SH90175,45.09平米,南,高层,简装修,有 ,平层,板楼,七里河,附件有学校,70.0万,15525.0,22.0,1,0,1
SH90176,176.13平米,东西,中层,简装修,有 ,平层,板楼,城关,附件无学校,258.0万,14648.0,17.0,3,2,2
